Date,Open,High,Low,Close,Adj Close,Volume
2022-07-26,80.000000,90.000000,79.000000,90.000000,90.000000,12457000
2022-07-27,91.000000,105.000000,88.000000,103.000000,103.000000,31678500
2022-07-28,96.000000,105.000000,96.000000,101.000000,101.000000,6351800
2022-07-29,101.000000,102.000000,94.000000,99.000000,99.000000,9937700
2022-08-01,98.000000,103.000000,98.000000,98.000000,98.000000,1717900
2022-08-02,98.000000,100.000000,94.000000,96.000000,96.000000,1093000
2022-08-03,96.000000,96.000000,92.000000,94.000000,94.000000,919100
2022-08-04,94.000000,95.000000,88.000000,88.000000,88.000000,2563400
2022-08-05,88.000000,90.000000,84.000000,88.000000,88.000000,979100
2022-08-08,88.000000,89.000000,84.000000,88.000000,88.000000,731200
2022-08-09,89.000000,89.000000,82.000000,86.000000,86.000000,726100
2022-08-10,86.000000,92.000000,86.000000,88.000000,88.000000,514100
2022-08-11,92.000000,92.000000,86.000000,90.000000,90.000000,278800
2022-08-12,90.000000,90.000000,86.000000,90.000000,90.000000,145800
2022-08-15,90.000000,91.000000,87.000000,88.000000,88.000000,199600
2022-08-16,97.000000,97.000000,87.000000,88.000000,88.000000,254600
2022-08-18,88.000000,90.000000,86.000000,88.000000,88.000000,288400
2022-08-19,93.000000,93.000000,85.000000,87.000000,87.000000,58300
2022-08-22,92.000000,92.000000,81.000000,83.000000,83.000000,573900
2022-08-23,83.000000,87.000000,81.000000,85.000000,85.000000,146200
2022-08-24,85.000000,86.000000,82.000000,85.000000,85.000000,144500
2022-08-25,85.000000,87.000000,80.000000,83.000000,83.000000,770600
2022-08-26,89.000000,89.000000,83.000000,83.000000,83.000000,300200
2022-08-29,83.000000,88.000000,80.000000,85.000000,85.000000,211900
2022-08-30,85.000000,85.000000,83.000000,85.000000,85.000000,173000
2022-08-31,85.000000,85.000000,82.000000,85.000000,85.000000,211300
2022-09-01,85.000000,85.000000,80.000000,83.000000,83.000000,286100
2022-09-02,82.000000,85.000000,82.000000,84.000000,84.000000,27400
2022-09-05,85.000000,85.000000,82.000000,84.000000,84.000000,105300
2022-09-06,83.000000,100.000000,83.000000,90.000000,90.000000,11556800
2022-09-07,104.000000,104.000000,84.000000,84.000000,84.000000,2194300
2022-09-08,85.000000,90.000000,82.000000,83.000000,83.000000,1957000
2022-09-09,83.000000,88.000000,83.000000,83.000000,83.000000,818800
2022-09-12,83.000000,90.000000,83.000000,85.000000,85.000000,4273200
2022-09-13,86.000000,87.000000,83.000000,84.000000,84.000000,4544700
2022-09-14,84.000000,89.000000,84.000000,87.000000,87.000000,2382200
2022-09-15,86.000000,88.000000,85.000000,85.000000,85.000000,2037700
2022-09-16,84.000000,97.000000,81.000000,89.000000,89.000000,12243700
2022-09-19,88.000000,91.000000,88.000000,89.000000,89.000000,1816900
2022-09-20,89.000000,89.000000,83.000000,86.000000,86.000000,1383600
2022-09-21,86.000000,87.000000,83.000000,83.000000,83.000000,663300
2022-09-22,85.000000,87.000000,83.000000,85.000000,85.000000,1207100
2022-09-23,85.000000,85.000000,83.000000,84.000000,84.000000,206600
2022-09-26,84.000000,85.000000,83.000000,84.000000,84.000000,176600
2022-09-27,84.000000,92.000000,81.000000,83.000000,83.000000,4866300
2022-09-28,83.000000,88.000000,83.000000,83.000000,83.000000,762100
2022-09-29,84.000000,88.000000,82.000000,83.000000,83.000000,2229800
2022-09-30,85.000000,95.000000,78.000000,86.000000,86.000000,23044300
2022-10-03,94.000000,116.000000,92.000000,116.000000,116.000000,77313000
2022-10-04,121.000000,139.000000,108.000000,108.000000,108.000000,99596600
2022-10-05,105.000000,114.000000,104.000000,112.000000,112.000000,12713800
2022-10-06,130.000000,136.000000,111.000000,115.000000,115.000000,73935900
2022-10-07,108.000000,121.000000,108.000000,120.000000,120.000000,24694300
2022-10-10,121.000000,123.000000,113.000000,115.000000,115.000000,18193200
2022-10-11,114.000000,122.000000,114.000000,119.000000,119.000000,15893500
2022-10-12,120.000000,122.000000,111.000000,115.000000,115.000000,11833600
2022-10-13,108.000000,125.000000,108.000000,125.000000,125.000000,21842200
2022-10-14,136.000000,144.000000,117.000000,120.000000,120.000000,80280700
2022-10-17,162.000000,162.000000,112.000000,112.000000,112.000000,15343300
2022-10-18,105.000000,112.000000,105.000000,105.000000,105.000000,15172600
2022-10-19,100.000000,104.000000,100.000000,103.000000,103.000000,8364100
2022-10-20,107.000000,107.000000,100.000000,100.000000,100.000000,4924600
2022-10-21,105.000000,108.000000,100.000000,104.000000,104.000000,18104000
2022-10-24,104.000000,104.000000,99.000000,102.000000,102.000000,4935900
2022-10-25,102.000000,107.000000,100.000000,100.000000,100.000000,10042300
2022-10-26,103.000000,105.000000,99.000000,100.000000,100.000000,7624100
2022-10-27,103.000000,103.000000,99.000000,100.000000,100.000000,3438000
2022-10-28,102.000000,104.000000,93.000000,93.000000,93.000000,9316500
2022-10-31,104.000000,104.000000,91.000000,92.000000,92.000000,3911500
2022-11-01,92.000000,95.000000,91.000000,93.000000,93.000000,1961900
2022-11-02,100.000000,100.000000,93.000000,98.000000,98.000000,3205300
2022-11-03,98.000000,102.000000,92.000000,92.000000,92.000000,27435200
2022-11-04,93.000000,93.000000,87.000000,90.000000,90.000000,2649200
2022-11-07,90.000000,90.000000,87.000000,88.000000,88.000000,1839800
2022-11-08,88.000000,88.000000,84.000000,86.000000,86.000000,2379200
2022-11-09,86.000000,91.000000,85.000000,89.000000,89.000000,3183100
2022-11-10,95.000000,95.000000,87.000000,89.000000,89.000000,1199300
2022-11-11,94.000000,94.000000,86.000000,89.000000,89.000000,739500
2022-11-14,93.000000,93.000000,86.000000,88.000000,88.000000,370600
2022-11-15,88.000000,89.000000,85.000000,86.000000,86.000000,634000
2022-11-16,89.000000,89.000000,85.000000,86.000000,86.000000,611900
2022-11-17,89.000000,89.000000,84.000000,86.000000,86.000000,389500
2022-11-18,89.000000,89.000000,84.000000,86.000000,86.000000,1405200
2022-11-21,86.000000,86.000000,85.000000,86.000000,86.000000,1318200
2022-11-22,87.000000,88.000000,85.000000,86.000000,86.000000,2049400
2022-11-23,86.000000,96.000000,82.000000,82.000000,82.000000,22301400
2022-11-24,78.000000,85.000000,78.000000,83.000000,83.000000,1491000
2022-11-25,79.000000,83.000000,79.000000,82.000000,82.000000,538900
2022-11-28,83.000000,85.000000,81.000000,82.000000,82.000000,7037200
2022-11-29,82.000000,82.000000,80.000000,82.000000,82.000000,712300
2022-11-30,82.000000,82.000000,80.000000,81.000000,81.000000,485700
2022-12-01,79.000000,81.000000,76.000000,76.000000,76.000000,1984600
2022-12-02,76.000000,77.000000,73.000000,77.000000,77.000000,1549200
2022-12-05,76.000000,81.000000,75.000000,75.000000,75.000000,1219600
2022-12-06,79.000000,79.000000,73.000000,74.000000,74.000000,499700
2022-12-07,78.000000,78.000000,74.000000,75.000000,75.000000,334700
2022-12-08,74.000000,76.000000,72.000000,74.000000,74.000000,469800
2022-12-09,74.000000,77.000000,73.000000,76.000000,76.000000,719100
2022-12-12,76.000000,79.000000,75.000000,76.000000,76.000000,730800
2022-12-13,81.000000,101.000000,81.000000,89.000000,89.000000,79085300
2022-12-14,84.000000,106.000000,83.000000,86.000000,86.000000,78054600
2022-12-15,83.000000,103.000000,83.000000,95.000000,95.000000,75768700
2022-12-16,96.000000,101.000000,90.000000,93.000000,93.000000,29650100
2022-12-19,88.000000,99.000000,88.000000,94.000000,94.000000,18754000
2022-12-20,95.000000,103.000000,92.000000,97.000000,97.000000,39739000
2022-12-21,99.000000,103.000000,95.000000,100.000000,100.000000,22614500
2022-12-22,102.000000,107.000000,93.000000,93.000000,93.000000,42212200
2022-12-23,93.000000,95.000000,88.000000,89.000000,89.000000,17910600
2022-12-26,87.000000,92.000000,83.000000,89.000000,89.000000,13513800
2022-12-27,89.000000,91.000000,86.000000,90.000000,90.000000,12503300
2022-12-28,90.000000,92.000000,87.000000,87.000000,87.000000,11969000
2022-12-29,87.000000,89.000000,86.000000,88.000000,88.000000,4887300
2022-12-30,88.000000,90.000000,87.000000,87.000000,87.000000,7132500
2023-01-02,87.000000,90.000000,86.000000,87.000000,87.000000,9004100
2023-01-03,87.000000,88.000000,85.000000,85.000000,85.000000,4592000
2023-01-04,85.000000,87.000000,81.000000,83.000000,83.000000,9119600
2023-01-05,83.000000,87.000000,80.000000,80.000000,80.000000,13937900
2023-01-06,81.000000,84.000000,79.000000,80.000000,80.000000,3357500
2023-01-09,80.000000,84.000000,76.000000,77.000000,77.000000,3245000
2023-01-10,77.000000,78.000000,73.000000,76.000000,76.000000,3008700
2023-01-11,76.000000,77.000000,72.000000,74.000000,74.000000,4271100
2023-01-12,72.000000,77.000000,72.000000,75.000000,75.000000,3061200
2023-01-13,70.000000,81.000000,70.000000,75.000000,75.000000,8592600
2023-01-16,70.000000,79.000000,70.000000,76.000000,76.000000,4513100
2023-01-17,76.000000,78.000000,74.000000,74.000000,74.000000,2698400
2023-01-18,74.000000,79.000000,74.000000,76.000000,76.000000,6752400
2023-01-19,77.000000,80.000000,75.000000,78.000000,78.000000,16964100
2023-01-20,79.000000,82.000000,77.000000,79.000000,79.000000,12040900
2023-01-24,80.000000,81.000000,75.000000,78.000000,78.000000,9346400
2023-01-25,78.000000,80.000000,76.000000,78.000000,78.000000,7706200
2023-01-26,78.000000,80.000000,76.000000,77.000000,77.000000,12036900
2023-01-27,77.000000,80.000000,76.000000,77.000000,77.000000,4064500
2023-01-30,73.000000,80.000000,73.000000,78.000000,78.000000,3445700
2023-01-31,74.000000,80.000000,74.000000,78.000000,78.000000,3676400
2023-02-01,73.000000,80.000000,73.000000,79.000000,79.000000,12997300
2023-02-02,75.000000,82.000000,75.000000,79.000000,79.000000,7107500
2023-02-03,78.000000,81.000000,78.000000,79.000000,79.000000,2812300
2023-02-06,80.000000,90.000000,78.000000,80.000000,80.000000,38083500
2023-02-07,79.000000,81.000000,78.000000,79.000000,79.000000,2197200
2023-02-08,75.000000,79.000000,75.000000,76.000000,76.000000,3899900
2023-02-09,76.000000,77.000000,73.000000,74.000000,74.000000,2398800
2023-02-10,72.000000,76.000000,72.000000,75.000000,75.000000,2841000
2023-02-13,76.000000,76.000000,73.000000,74.000000,74.000000,1724200
2023-02-14,73.000000,74.000000,73.000000,74.000000,74.000000,3481100
2023-02-15,74.000000,77.000000,74.000000,76.000000,76.000000,6999100
2023-02-16,74.000000,76.000000,73.000000,74.000000,74.000000,1307200
2023-02-17,72.000000,75.000000,72.000000,74.000000,74.000000,898400
2023-02-20,73.000000,75.000000,73.000000,73.000000,73.000000,687100
2023-02-21,73.000000,75.000000,73.000000,74.000000,74.000000,1459100
2023-02-22,73.000000,75.000000,73.000000,74.000000,74.000000,1678900
2023-02-23,74.000000,75.000000,72.000000,74.000000,74.000000,2819200
2023-02-24,74.000000,75.000000,73.000000,74.000000,74.000000,531300
2023-02-27,73.000000,74.000000,73.000000,74.000000,74.000000,774000
2023-02-28,74.000000,75.000000,72.000000,74.000000,74.000000,2983700
2023-03-01,74.000000,75.000000,73.000000,74.000000,74.000000,375300
2023-03-02,74.000000,75.000000,72.000000,74.000000,74.000000,3133200
2023-03-03,74.000000,75.000000,73.000000,73.000000,73.000000,1873500
2023-03-06,73.000000,75.000000,73.000000,73.000000,73.000000,1511300
2023-03-07,73.000000,75.000000,73.000000,74.000000,74.000000,1977000
2023-03-08,74.000000,75.000000,73.000000,74.000000,74.000000,1407800
2023-03-09,74.000000,75.000000,70.000000,70.000000,70.000000,4579700
2023-03-10,67.000000,73.000000,67.000000,70.000000,70.000000,1239900
2023-03-13,69.000000,71.000000,68.000000,71.000000,71.000000,1437600
2023-03-14,68.000000,70.000000,67.000000,69.000000,69.000000,1812400
2023-03-15,65.000000,69.000000,65.000000,66.000000,66.000000,1914400
2023-03-16,62.000000,65.000000,62.000000,62.000000,62.000000,1222300
2023-03-17,58.000000,64.000000,58.000000,59.000000,59.000000,783500
2023-03-20,55.000000,61.000000,55.000000,60.000000,60.000000,30400
2023-03-21,56.000000,61.000000,56.000000,59.000000,59.000000,267400
2023-03-24,56.000000,63.000000,56.000000,60.000000,60.000000,1086900
2023-03-27,57.000000,63.000000,57.000000,62.000000,62.000000,1579900
2023-03-28,58.000000,63.000000,58.000000,61.000000,61.000000,112200
2023-03-29,57.000000,63.000000,57.000000,61.000000,61.000000,504800
2023-03-30,58.000000,63.000000,58.000000,63.000000,63.000000,857400
2023-03-31,67.000000,77.000000,64.000000,64.000000,64.000000,8263700
2023-04-03,60.000000,69.000000,60.000000,62.000000,62.000000,1797700
2023-04-04,62.000000,70.000000,62.000000,67.000000,67.000000,4924800
2023-04-05,67.000000,72.000000,63.000000,67.000000,67.000000,10830600
2023-04-06,67.000000,68.000000,64.000000,67.000000,67.000000,1278800
2023-04-10,66.000000,67.000000,65.000000,67.000000,67.000000,204900
2023-04-11,66.000000,70.000000,66.000000,66.000000,66.000000,2502400
2023-04-12,64.000000,83.000000,63.000000,64.000000,64.000000,27781200
2023-04-13,64.000000,68.000000,63.000000,64.000000,64.000000,5904100
2023-04-14,63.000000,64.000000,63.000000,64.000000,64.000000,791300
2023-04-17,63.000000,67.000000,63.000000,64.000000,64.000000,3208300
2023-04-18,60.000000,64.000000,60.000000,64.000000,64.000000,784300
2023-04-26,63.000000,65.000000,62.000000,64.000000,64.000000,537900
2023-04-27,62.000000,65.000000,62.000000,63.000000,63.000000,479600
2023-04-28,60.000000,65.000000,60.000000,64.000000,64.000000,209500
2023-05-02,64.000000,65.000000,63.000000,64.000000,64.000000,448800
2023-05-03,60.000000,65.000000,60.000000,64.000000,64.000000,1010400
2023-05-04,60.000000,65.000000,60.000000,64.000000,64.000000,872700
2023-05-05,62.000000,65.000000,62.000000,64.000000,64.000000,28000
2023-05-08,63.000000,64.000000,63.000000,63.000000,63.000000,1049500
2023-05-09,60.000000,65.000000,60.000000,64.000000,64.000000,1292800
2023-05-10,61.000000,65.000000,61.000000,64.000000,64.000000,3476800
2023-05-11,63.000000,65.000000,63.000000,63.000000,63.000000,1650300
2023-05-12,64.000000,64.000000,63.000000,63.000000,63.000000,2113400
2023-05-15,63.000000,64.000000,62.000000,64.000000,64.000000,994700
2023-05-16,63.000000,66.000000,62.000000,64.000000,64.000000,2417700
2023-05-17,63.000000,64.000000,62.000000,63.000000,63.000000,80400
2023-05-19,63.000000,64.000000,62.000000,62.000000,62.000000,1303000
2023-05-22,62.000000,64.000000,58.000000,58.000000,58.000000,3640600
2023-05-23,58.000000,59.000000,55.000000,58.000000,58.000000,1173900
2023-05-24,58.000000,60.000000,56.000000,57.000000,57.000000,3683800
2023-05-25,56.000000,61.000000,56.000000,58.000000,58.000000,8711900
2023-05-26,58.000000,59.000000,57.000000,58.000000,58.000000,148300
2023-05-29,57.000000,60.000000,56.000000,57.000000,57.000000,3635300
2023-05-30,57.000000,59.000000,56.000000,57.000000,57.000000,2543200
2023-05-31,57.000000,58.000000,56.000000,57.000000,57.000000,1292200
2023-06-05,57.000000,59.000000,53.000000,55.000000,55.000000,1273300
2023-06-06,55.000000,56.000000,54.000000,56.000000,56.000000,343000
2023-06-07,56.000000,56.000000,54.000000,56.000000,56.000000,573900
2023-06-08,56.000000,56.000000,54.000000,55.000000,55.000000,160500
2023-06-09,55.000000,55.000000,54.000000,55.000000,55.000000,71900
2023-06-12,56.000000,59.000000,55.000000,56.000000,56.000000,3369300
2023-06-13,56.000000,56.000000,54.000000,55.000000,55.000000,3301600
2023-06-14,55.000000,56.000000,54.000000,55.000000,55.000000,4833800
2023-06-15,55.000000,56.000000,55.000000,55.000000,55.000000,94000
